time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1670841223993997300,0.499997314453125,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2948.226318359375,7.30196365,46.08390029
1670841224993526800,1.49952685546875,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2948.228271484375,7.3019638,46.08390028
1670841225988062000,2.49406201171875,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2948.229736328125,7.30196386,46.08390029
1670841226985597400,3.491597412109375,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2948.227294921875,7.301964,46.0839003
1670841227985186000,4.49118603515625,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2948.22802734375,7.301964,46.08390031
1670841228990974000,5.496973876953125,0,0.05000000074505806,2.5,3.7900924682617188,0,0,2948.228515625,7.301964,46.08390031
1670841229987309800,6.493309814453125,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2948.229248046875,7.30196399,46.08390028
1670841230987299600,7.493299560546875,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2948.234130859375,7.30196405,46.08390027
1670841231991371800,8.497371826171875,0,0.05000000074505806,2.5,3.7900924682617188,0,0,2948.2412109375,7.30196407,46.08390027
1670841232989034200,9.4950341796875,0,0.840595006942749,2.5,3.7900924682617188,0,0,2948.34765625,7.3019667,46.0838987
1670841233989636900,10.495636962890625,92.71669006347656,0.840595006942749,2.5,3.7900924682617188,0.15000000596046448,102.30000305175781,2948.606201171875,7.30197241,46.08389809
1670841234992972000,11.498971923828124,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2948.455078125,7.30197824,46.08389809
1670841236000325400,12.506325439453125,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2948.48388671875,7.30197963,46.08389813
1670841236988362000,13.494362060546875,88.90968322753906,0.840595006942749,2.5,3.7900924682617188,0.20000000298023224,280.79998779296875,2947.824462890625,7.30197793,46.08389867
1670841237990785000,14.496784912109375,90.05107116699219,0.8490583300590515,2.5,3.7900924682617188,0.1899999976158142,170.1999969482422,2947.593017578125,7.30197749,46.08389835
1670841238986159400,15.492159423828125,88.0526351928711,1.013558030128479,2.5,3.7900924682617188,0.25999999046325684,170.39999389648438,2947.8818359375,7.30197963,46.08389691
1670841239991991800,16.49799169921875,82.84165954589844,1.136001706123352,2.5,3.7900924682617188,0.4000000059604645,139.39999389648438,2947.59130859375,7.30198292,46.08389526
1670841240993314000,17.49931396484375,0,1.0034440755844116,2.5,3.7900924682617188,0,0,2947.28369140625,7.30198446,46.0838954
1670841241992433000,18.498432861328126,95.2945785522461,1.1374093294143677,2.5,3.7900924682617188,0.17000000178813934,56.70000076293945,2946.92333984375,7.3019882,46.0838968
1670841242998564900,19.50456494140625,0,0.8490583300590515,2.5,3.7900924682617188,0,0,2947.26220703125,7.30198625,46.0838997
1670841243996571600,20.502571533203124,0,0.022360680624842644,2.5,3.7900924682617188,0,0,2947.35009765625,7.30198208,46.08390326
1670841244998081300,21.504081298828126,0,0.036055512726306915,2.5,3.7900924682617188,0,0,2947.34814453125,7.30198096,46.08390415
1670841246000221000,22.506220947265625,0,0.05000000074505806,2.5,3.7900924682617188,0,0,2947.348388671875,7.30198062,46.08390436
1670841246995006200,23.501006103515625,0,0.05000000074505806,2.5,3.7900924682617188,0,0,2947.34814453125,7.30198049,46.08390444
1670841247989501000,24.4955009765625,0,0.036055512726306915,2.5,3.7900924682617188,0,0,2947.343505859375,7.30198044,46.08390448
1670841248994235600,25.500235595703124,65.00634765625,0.8575546741485596,2.5,3.7900924682617188,0.5299999713897705,188.8000030517578,2946.8203125,7.30197938,46.08390264
1670841249993401600,26.499401611328125,0,0.036055512726306915,2.5,3.7900924682617188,0,0,2946.828125,7.30197905,46.08390183
1670841250997928000,27.503927978515627,0,0.022360680624842644,2.5,3.7900924682617188,0,0,2946.8291015625,7.30197901,46.08390188
1670841251993726500,28.4997265625,0,0.9775479435920715,2.5,3.7900924682617188,0,0,2946.869873046875,7.30198077,46.08390125
1670841252995372800,29.501372802734377,0,0.07211102545261383,2.5,3.7900924682617188,0,0,2946.739501953125,7.3019826,46.08390208
1670841253991266300,30.497266357421875,0,0.07211102545261383,2.5,3.7900924682617188,0,0,2946.671875,7.30198356,46.08390238
1670841254997439700,31.503439697265627,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2946.704345703125,7.30198424,46.08390233
1670841255992374300,32.49837426757812,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2946.704345703125,7.30198441,46.08390231
1670841256994543400,33.50054345703125,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2946.705078125,7.30198444,46.08390231
1670841258000221200,34.50622119140625,0,1.1301770210266113,2.5,3.7900924682617188,0,0,2946.601318359375,7.3019844,46.08390254
