time,seconds_elapsed,relativeAltitude,pressure
1670840948876415200,-274.6175847167969,0,700.41259765625
1670840948916415500,-274.57758447265627,0.208740234375,700.39404296875
1670840948956415200,-274.53758471679686,-0.30908203125,700.440185546875
1670840948996415200,-274.4975847167969,-0.03955078125,700.416259765625
1670840949036415500,-274.45758447265627,-0.306396484375,700.43994140625
1670840949076415500,-274.41758447265624,0.015869140625,700.411376953125
1670840949116416000,-274.377583984375,-0.142578125,700.425537109375
1670840949156415200,-274.33758471679687,-0.124267578125,700.423828125
1670840949196416300,-274.29758374023436,-0.314453125,700.440673828125
1670840949236416300,-274.2575837402344,-0.4677734375,700.454345703125
1670840949276415700,-274.21758422851565,-0.459716796875,700.45361328125
1670840949316416500,-274.17758349609375,-0.03955078125,700.416259765625
1670840949356415500,-274.1375844726563,0.03955078125,700.4091796875
1670840949396416000,-274.097583984375,-0.414794921875,700.44970703125
1670840949436415200,-274.0575847167969,-0.491455078125,700.45654296875
1670840949476415500,-274.01758447265627,-0.30126953125,700.439453125
1670840949516415200,-273.97758471679685,-0.396240234375,700.447998046875
1670840949556415500,-273.9375844726562,-0.494140625,700.456787109375
1670840949596415700,-273.8975842285156,-0.044921875,700.416748046875
1670840949636415500,-273.85758447265624,-0.163818359375,700.42724609375
1670840949676415700,-273.8175842285156,-0.369873046875,700.445556640625
1670840949716416000,-273.777583984375,-0.575927734375,700.464111328125
1670840949756415700,-273.73758422851563,-0.369873046875,700.445556640625
1670840949796415700,-273.6975842285156,0.068603515625,700.406494140625
1670840949836416000,-273.657583984375,-0.25634765625,700.435546875
1670840949876415500,-273.61758447265623,-0.406982421875,700.448974609375
1670840949916415500,-273.57758447265627,0.0712890625,700.40625
1670840949956415500,-273.53758447265625,-0.079345703125,700.419677734375
1670840949996415500,-273.49758447265623,-0.12939453125,700.42431640625
1670840950036415700,-273.4575842285156,-0.208740234375,700.431396484375
1670840950076415500,-273.41758447265624,-0.1083984375,700.42236328125
1670840950116416000,-273.377583984375,-0.195556640625,700.43017578125
1670840950156415500,-273.33758447265626,-0.08203125,700.419921875
1670840950196415500,-273.29758447265624,-0.137451171875,700.425048828125
1670840950236415500,-273.2575844726563,-0.30126953125,700.439453125
1670840950276415200,-273.21758471679686,0.14013671875,700.400146484375
1670840950316415500,-273.17758447265624,-0.156005859375,700.426513671875
1670840950356415700,-273.1375842285156,-0.451904296875,700.452880859375
1670840950396415700,-273.09758422851564,-0.0634765625,700.41845703125
1670840950436415700,-273.0575842285156,-0.1611328125,700.427001953125
1670840950476415700,-273.0175842285156,-0.261474609375,700.43603515625
1670840950516415700,-272.97758422851564,-0.235107421875,700.43359375
1670840950556415700,-272.9375842285156,-0.221923828125,700.432373046875
1670840950596416000,-272.897583984375,-0.4228515625,700.450439453125
1670840950636415700,-272.85758422851563,-0.145263671875,700.42578125
1670840950676415500,-272.8175844726562,-0.32763671875,700.44189453125
1670840950716415200,-272.77758471679687,-0.171630859375,700.427978515625
1670840950756415200,-272.7375847167969,-0.100341796875,700.421630859375
1670840950796415200,-272.6975847167969,-0.10302734375,700.421875
1670840950836415500,-272.65758447265625,-0.3857421875,700.447021484375
1670840950876415500,-272.61758447265623,-0.324951171875,700.441650390625
1670840950916416000,-272.577583984375,0.021240234375,700.410888671875
1670840950956415500,-272.53758447265625,0.375244140625,700.37939453125
1670840950996415700,-272.4975842285156,-0.290771484375,700.4384765625
1670840951036415200,-272.4575847167969,-0.060791015625,700.418212890625
1670840951076415200,-272.41758471679685,-0.523193359375,700.459228515625
1670840951116415500,-272.3775844726562,-0.021240234375,700.41455078125
1670840951156415500,-272.33758447265626,-0.5576171875,700.46240234375
1670840951196415200,-272.29758471679685,-0.37255859375,700.44580078125
1670840951236415500,-272.2575844726563,-0.285400390625,700.43798828125
1670840951276415200,-272.21758471679686,-0.4755859375,700.455078125
1670840951316415500,-272.17758447265624,-0.105712890625,700.422119140625
1670840951356415500,-272.1375844726563,-0.335693359375,700.442626953125
1670840951396415500,-272.09758447265625,-0.163818359375,700.42724609375
1670840951436415500,-272.05758447265623,-0.1875,700.429443359375
1670840951476415700,-272.0175842285156,0.03173828125,700.409912109375
1670840951516415200,-271.97758471679685,-0.0712890625,700.419189453125
1670840951556415500,-271.9375844726562,-0.22998046875,700.43310546875
1670840951596415500,-271.89758447265626,0,700.41259765625
1670840951636415500,-271.85758447265624,-0.285400390625,700.43798828125
1670840951676415500,-271.8175844726562,-0.142578125,700.425537109375
1670840951716415700,-271.77758422851565,-0.253662109375,700.435302734375
