time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1670841221531000000,-1.963,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841226578000000,3.083999755859375,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841231619000000,8.125,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841234344000000,10.85,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841239444000000,15.95,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841244503000000,21.009,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841249524000000,26.03,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841254544000000,31.05,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841259574000000,36.08000024414063,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841264581000000,41.087,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841269707000000,46.213,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841274648000000,51.154,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841279677000000,56.183,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841284693000000,61.199,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841289706000000,66.21199975585938,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841294728000000,71.234,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841299753000000,76.259,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841304939000000,81.445,0,0,0,2799.9990234375,0,0,0,7.377313,46.2773606
1670841380068000000,156.574,0,0,0,899.9990234375,0,0,0,7.2797628,46.0806032
1670841405036000000,181.542,0,0,0,1500,0,0,0,7.2906933,46.0829021
1670841412068000000,188.574,0,0,0,1500,0,0,0,7.2906933,46.0829021
1670841417096000000,193.602,0,0,0,1500,0,0,0,7.2906933,46.0829021
1670841422124000000,198.63,0,0,0,1500,0,0,0,7.2906933,46.0829021
1670841427143000000,203.649,0,0,0,1500,0,0,0,7.2906933,46.0829021
1670841432158000000,208.66400024414062,0,0,0,1500,0,0,0,7.2906933,46.0829021
1670841442193000000,218.699,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841447213000000,223.719,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841452224000000,228.73,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841457356000000,233.862,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841462290000000,238.79599975585938,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841467315000000,243.821,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841472325000000,248.831,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841477337000000,253.843,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841482361000000,258.867,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841487454000000,263.96000024414064,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841492405000000,268.911,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841497420000000,273.926,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841502439000000,278.945,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841507452000000,283.958,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841540049000000,316.555,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841545138000000,321.6439997558594,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841550289000000,326.795,0,0,0,3500,0,0,0,7.2864557,46.0816743
1670841583119000000,359.625,0,0,0,1500,0,0,0,7.2906933,46.0829021
1670841616913000000,393.419,0,0,0,500,0,0,0,7.2804906,46.0820553
1670841650824000000,427.33,0,0,0,1500,0,0,0,7.2906933,46.0829021
1670841683854000000,460.3600002441406,0,0,0,500,0,0,0,7.2804906,46.0820553
1670841717821000000,494.327,0,0,0,600,0,0,0,7.2736736,46.0818908
1670841751615000000,528.121,0,0,0,600,0,0,0,7.2736736,46.0818908
1670841786865000000,563.371,0,0,73.95999908447266,156.89999389648438,0,0,2323.699951171875,7.2679519,46.0805504
1670841796708000000,573.214,0,0,35.44828414916992,128.8990020751953,0,0,2320.599853515625,7.2699828,46.0800002
1670841799074000000,575.5799997558594,0,0,0,500,0,0,0,7.2670081,46.0823157
1670841804111000000,580.617,0,0,0,500,0,0,0,7.2670081,46.0823157
1670841811783000000,588.289,0,0,49.510414123535156,142.5,0,0,2320.599853515625,7.2699757,46.0799982
1670841816803000000,593.309,0,0,49.510414123535156,142.5,0,0,2323.699951171875,7.2679575,46.0805574
1670841821826000000,598.3319997558593,0,0,59.90760040283203,149.60000610351562,0,0,2320.599853515625,7.2699714,46.0799957
1670841824176000000,600.682,0,0,0,500,0,0,0,7.2670081,46.0823157
1670841829201000000,605.707,0,0,0,1500,0,0,0,7.269515,46.0851531
1670841834219000000,610.725,0,0,0,1500,0,0,0,7.269515,46.0851531
1670841839229000000,615.735,0,0,0,1799.9990234375,0,0,0,7.2678872,46.088554
1670841846943000000,623.449,0,0,59.90760040283203,149.60000610351562,0,0,2323.699951171875,7.2679532,46.0805548
1670841849293000000,625.799,0,0,0,1799.9990234375,0,0,0,7.2678872,46.088554
1670841856963000000,633.469,0,0,49.510414123535156,142.5,0,0,2323.699951171875,7.2679575,46.0805574
1670841861984000000,638.49,0,0,30.565101623535156,122.4000015258789,0,0,2323.699951171875,7.2679664,46.0805594
1670841867000000000,643.506,0,0,49.510414123535156,142.5,0,0,2323.699951171875,7.2679575,46.0805574
1670841871579000000,648.085,0,0,35.44828414916992,128.8990020751953,0,0,2323.699951171875,7.2679649,46.0805595
1670841877935000000,654.441,0,0,35.44828414916992,128.8990020751953,0,0,2323.699951171875,7.2679649,46.0805595
1670841882960000000,659.466,0,0,35.44828414916992,128.8990020751953,0,0,2320.599853515625,7.2683388,46.080347
1670841888001000000,664.507,0,0,17.817079544067383,110,0,0,2320.599853515625,7.2682209,46.0804189
1670841893044000000,669.55,0,0,23.5590763092041,122.4000015258789,0,0,2320.599853515625,7.2682002,46.0804315
1670841898062000000,674.5680002441406,0,0,20.729272842407227,104.0999984741211,0,0,2323.699951171875,7.2679664,46.0805543
1670841903080000000,679.586,0,0,9.820918083190918,82.5,0,0,2320.599853515625,7.2682846,46.0803883
1670841908153000000,684.659,0,0,17.37665367126465,110,0,0,2320.599853515625,7.2682281,46.0804129
1670841913176000000,689.682,0,0,8.753108024597168,87.5999984741211,0,0,2323.699951171875,7.2680943,46.0804808
1670841918177000000,694.683,0,0,9.248236656188965,92.9000015258789,0,0,2323.699951171875,7.2681119,46.080477
1670841923203000000,699.709,0,0,26.625600814819336,116.0999984741211,0,0,2323.699951171875,7.2679668,46.0805579
1670841928223000000,704.729,0,0,23.401405334472656,110,0,0,2323.699951171875,7.2679669,46.080553
1670841933239000000,709.745,0,0,17.817079544067383,110,0,0,2323.699951171875,7.2681744,46.0804493
1670841938244000000,714.75,0,0,17.37665367126465,110,0,0,2323.699951171875,7.268153,46.0804645
1670841943279000000,719.785,0,0,17.37665367126465,110,0,0,2323.699951171875,7.268153,46.0804645
1670841945987000000,722.493,0,0,30.565101623535156,122.4000015258789,0,0,2320.599853515625,7.2683385,46.0803433
1670841953330000000,729.8359997558593,0,0,18.489999771118164,98.4000015258789,0,0,2323.699951171875,7.2679645,46.0805564
1670841958393000000,734.899,0,0,17.37665367126465,110,0,0,2323.699951171875,7.268153,46.0804645
1670841960844000000,737.35,0,0,0,1799.9990234375,0,0,0,7.2678872,46.088554
1670841965778000000,742.2839997558593,0,0,0,1799.9990234375,0,0,0,7.2678872,46.088554
