time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1670835148983611400,0.900611328125,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2784.30419921875,7.26880102,46.0992058
1670835149975963400,1.89296337890625,0,0.07211102545261383,2.5,3.7900924682617188,0,0,2784.304443359375,7.26880095,46.09920582
1670835150979447600,2.896447509765625,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2784.30615234375,7.26880091,46.09920581
1670835151984687600,3.9016875,0,0.05000000074505806,2.5,3.7900924682617188,0,0,2784.31103515625,7.26880091,46.09920583
1670835152986723600,4.9037236328125,0,0.036055512726306915,2.5,3.7900924682617188,0,0,2784.30859375,7.26880088,46.09920583
1670835153978277400,5.89527734375,79.3343505859375,1.017103672027588,2.5,3.7900924682617188,0.4000000059604645,139.8000030517578,2784.436767578125,7.26880281,46.09920489
1670835154981129700,6.898129638671875,0,0.022360680624842644,2.5,3.7900924682617188,0,0,2784.44384765625,7.26880352,46.09920623
1670835155981194000,7.898194091796875,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2784.445068359375,7.26880352,46.09920671
1670835156980826000,8.897826171875,82.30598449707031,0.941541314125061,2.5,3.7900924682617188,0.3199999928474426,154.39999389648438,2784.2666015625,7.2688049,46.09920397
1670835157974074000,9.89107421875,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2784.274169921875,7.26880421,46.09920317
1670835158972855800,10.889855712890625,69.78861999511719,0.9964436888694763,2.5,3.7900924682617188,0.5299999713897705,253,2784.21142578125,7.26879918,46.09920221
1670835159977353200,11.894353271484375,0,0.07211102545261383,2.5,3.7900924682617188,0,0,2784.463134765625,7.26880083,46.09920522
1670835160974710000,12.8917099609375,0,0.07211102545261383,2.5,3.7900924682617188,0,0,2784.54345703125,7.26880187,46.09920586
1670835161991118600,13.90811865234375,0,1.2701574563980103,2.5,3.7900924682617188,0,0,2784.415771484375,7.26880215,46.09920665
1670835162978256100,14.895256103515624,95.81598663330078,1.4418044090270996,2.5,4.008902072906494,0.20999999344348907,64.5999984741211,2784.860107421875,7.26880607,46.09920965
1670835163978889700,15.8958896484375,0,0.07211102545261383,2.5,3.7900924682617188,0,0,2786.118896484375,7.26881665,46.09921605
1670835164977781200,16.89478125,79.60552978515625,1.1164675951004028,2.681743860244751,4.1917805671691895,0.4300000071525574,154.89999389648438,2786.852783203125,7.26882237,46.09921286
1670835165971282200,17.8882822265625,0,0.01414213515818119,2.511409282684326,3.9065330028533936,0,0,2786.778564453125,7.2688223,46.09921462
1670835166982959900,18.8999599609375,0,0.08062257617712021,2.5,3.841794729232788,0,0,2786.5615234375,7.26882306,46.09921692
1670835167974697000,19.891697021484376,87.7975082397461,0.9106590747833252,2.5,3.7900924682617188,0.23999999463558197,225.3000030517578,2785.448974609375,7.26882289,46.09921648
1670835168974606800,20.89160693359375,0,0.9106590747833252,2.5,3.7900924682617188,0,0,2785.5625,7.2688248,46.09921928
1670835169982371000,21.89937109375,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2785.621826171875,7.26883526,46.09922602
1670835170982673200,22.899673095703125,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2785.649658203125,7.26883921,46.09922813
1670835171987225300,23.904225341796874,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2785.650390625,7.26884019,46.09922865
1670835172988347400,24.905347412109375,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2785.65087890625,7.2688405,46.09922878
1670835173974058500,25.89105859375,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2785.65087890625,7.26884064,46.09922882
1670835174980863000,26.897863037109374,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2785.65283203125,7.26884068,46.09922887
1670835175979076600,27.89607666015625,0,0.08062257617712021,2.5,3.7900924682617188,0,0,2785.656005859375,7.26884072,46.09922891
