time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1670835149982000000,1.899000244140625,0,0,5.674838542938232,18.716999053955078,0,0,2788.39990234375,7.2688535,46.099216
1670835155914000000,7.830999755859375,0,0,4.600098609924316,16.83799934387207,0,0,2788.39990234375,7.2688589,46.0992161
1670835161143000000,13.06,0,0,4.213287830352783,60,0,0,2785.099853515625,7.2688715,46.0992174
1670835171049000000,22.966,0,0,9.216553688049316,92.9000015258789,0,0,2785.099853515625,7.268927,46.0992275
1670835176098000000,28.014999755859375,0,0,6.075821399688721,64.0999984741211,0,0,2785.099853515625,7.2689239,46.0992316
1670835181134000000,33.051000244140624,0,0,4.777320384979248,60,0,0,2785.099853515625,7.2689112,46.0992338
1670835186224000000,38.141,0,0,4.521328449249268,56.099998474121094,0,0,2785.099853515625,7.2689244,46.0992329
1670835191237000000,43.154,0,0,7.323667526245117,72.9000015258789,0,0,2785.099853515625,7.2689199,46.0992333
1670835196284000000,48.201,0,0,3.1040327548980713,42.5,0,0,2785.099853515625,7.2688696,46.099219
1670835201290000000,53.20699975585938,0,0,5.1347432136535645,82.5,0,0,2785.099853515625,7.268881,46.0992178
1670835206335000000,58.252,0,0,3.700284242630005,56.099998474121094,0,0,2785.099853515625,7.268912,46.0992284
1670835212686000000,64.60300024414063,0,0,6.7768778800964355,29.426000595092773,0,0,2785.099853515625,7.2688984,46.0991962
1670835228700000000,80.617,0,0,5.598841190338135,19.83300018310547,0,0,2785.099853515625,7.2688766,46.0992094
1670835233754000000,85.67099975585937,0,0,11.30332088470459,92.9000015258789,0,0,2785.099853515625,7.2688456,46.099207
1670835238786000000,90.70299975585938,0,0,9.216553688049316,92.9000015258789,0,0,2785.099853515625,7.2688832,46.0992216
1670835243870000000,95.78700024414063,0,0,10.240615844726562,39.28099822998047,0,0,2785.099853515625,7.2688748,46.0992074
1670835248862000000,100.77900024414062,0,0,6.476497173309326,22.948999404907227,0,0,2785.099853515625,7.2688448,46.0991958
1670835253863000000,105.78,0,0,10.051610946655273,77.5999984741211,0,0,2785.099853515625,7.2688167,46.0991979
1670835262723000000,114.64,0,0,0,77.5999984741211,0,0,0,7.2688102,46.0992016
1670835267818000000,119.73499975585938,0,0,0,116.0999984741211,0,0,0,7.2688499,46.0991898
1670835296847000000,148.764,0,0,0,1399.9990234375,0,0,0,7.2705984,46.0991733
1670835330338000000,182.2549997558594,0,0,41.602500915527344,135.60000610351562,0,0,2788.39990234375,7.2688535,46.0992183
1670835334097000000,186.014,0,0,0,1399.9990234375,0,0,0,7.2705984,46.0991733
1670835341762000000,193.67899975585937,0,0,0,142.5,0,0,0,7.268804,46.0992026
1670835350765000000,202.682,0,0,0,122.4000015258789,0,0,0,7.2688023,46.0991991
1670835381019000000,232.936,0,0,0,1799.9990234375,0,0,0,7.2678872,46.088554
1670835409031000000,260.948,0,0,0,1799.9990234375,0,0,0,7.2678872,46.088554
1670835432482000000,284.3989997558594,0,0,0,1000,0,0,0,7.251323,46.0893085
1670835440046000000,291.96300024414063,0,0,0,1000,0,0,0,7.251323,46.0893085
1670835466056000000,317.973,0,0,0,1799.9990234375,0,0,0,7.2678872,46.088554
1670835485748000000,337.665,0,0,93.60562133789062,164.39999389648438,0,0,1673.9000244140625,7.2231627,46.1052558
1670835491075000000,342.992,0,0,0,1799.9990234375,0,0,0,7.2678872,46.088554
1670835502734000000,354.6510002441406,0,0,0,135.60000610351562,0,0,0,7.2268904,46.1050584
1670835525035000000,376.952,0,0,0,1299.9990234375,0,0,0,7.2584646,46.0921516
1670835530121000000,382.038,0,0,0,1299.9990234375,0,0,0,7.2584646,46.0921516
1670835535143000000,387.06,0,0,0,1299.9990234375,0,0,0,7.2584646,46.0921516
1670835540171000000,392.088,0,0,0,1299.9990234375,0,0,0,7.2584646,46.0921516
1670835564156000000,416.073,0,0,0,3299.9990234375,0,0,0,7.2615256,46.1279422
1670835599247000000,451.164,0,0,49.510414123535156,142.5,0,0,2260,7.2536207,46.0912653
1670835622354000000,474.27099975585935,0,0,7.641275405883789,52.400001525878906,0,0,2260,7.2536334,46.0912873
1670835630721000000,482.638,0,0,3.8157706260681152,48.900001525878906,0,0,2260,7.2536614,46.0912833
1670835635763000000,487.68,0,0,2.8801729679107666,30,0,0,2260,7.2536647,46.0912856
1670835640754000000,492.6709997558594,0,0,2.5034518241882324,28.100000381469727,0,0,2260,7.2536626,46.091285
1670835645771000000,497.688,0,0,2.4332900047302246,32.0989990234375,0,0,2260,7.2536625,46.0912923
1670835650790000000,502.7070002441406,0,0,2.089556932449341,24.899999618530273,0,0,2260,7.2536639,46.0912903
1670835655807000000,507.724,0,0,3.0800821781158447,28.100000381469727,0,0,2260,7.2536658,46.0912871
1670835660855000000,512.772,0,0,2.8996901512145996,32.0989990234375,0,0,2260,7.2536452,46.0912848
1670835665873000000,517.79,0,0,3.544828414916992,42.5,0,0,2260,7.2536499,46.0912844
1670835670861000000,522.778,0,0,4.251781463623047,52.400001525878906,0,0,2260,7.2536107,46.0912555
1670835675878000000,527.7950002441406,0,0,3.19848370552063,36.900001525878906,0,0,2260,7.2536476,46.0912843
1670835680895000000,532.812,0,0,3.0658955574035645,32.0989990234375,0,0,2260,7.2536413,46.091285
1670835685912000000,537.829,0,0,3.2952475547790527,36.900001525878906,0,0,2260,7.2536446,46.0912844
1670835690963000000,542.88,0,0,6.7768778800964355,77.5999984741211,0,0,2260,7.2536596,46.0912867
